SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,COUNTRY,PUBLICATION-TYPE,BYLINE,LANGUAGE,TI,STATE,LOAD-DATE,CITY,LENGTH,SUBJECT,TEXT
304,Concord Times (Freetown),7/16/12,Former ACC Boss Talks About His Experience in Sierra Leone at UN Corruption Debate,,SIERRA LEONE (95%); UNITED STATES (92%); AFRICA (92%),Newspaper,Dennis Kabatto,ENGLISH,,"NEW YORK, USA (92%)",18-Jul-12,,881 words,CORRUPTION (95%); POLITICAL CORRUPTION (78%); WHISTLEBLOWERS (78%); UNITED NATIONS INSTITUTIONS (77%); ECONOMIC DEVELOPMENT (76%); LAWYERS (74%); SUSTAINABLE DEVELOPMENT (74%); LEGISLATION (69%); JUSTICE DEPARTMENTS (69%); ATTORNEYS GENERAL (50%) Sierra Leone; International Organizations and Africa; Corruption,"Many anti-corruption commissions have been ""set up to fail, however they could succeed if they were given the right mandate and the right powers. In many cases those elements were lacking,"" former Anti-Corruption Commissioner ACC boss, Mr. Abdul Tejan-Cole said during his address as a panelist at the recently concluded two-day United Nations Economic and Social Council ECOSOC 2012 high-level panel discussion held to highlight the costs of corruption on societies. The two day high-level corruption discussion from July 9 to 10 held at the UN headquarters in New York, offered two interactive dialogues under the overall theme of ""Accountability, transparency and sustainable development: turning challenges into opportunities"". The first panel was focused on ""Creating inclusive and cohesive societies: a multidisciplinary approach to combating corruption for development"" and the second on ""Shared roles and responsibilities: developing innovative partnerships for comprehensive action against corruption"". Sharing some of the lessons from his experience in Sierra Leone during the first interactive panel on Monday July 9th, Mr. Tejan-Cole, who is currently the Regional Director for Africa at the Open Society Foundation based in New York, told the panel that the most important challenge in his country's context was that ""the anti-corruption commission had a very weak legal framework and a very weak law. When the commission itself was setup in 2000, it was largely set up not as a result of the desire of the government of Sierra Leone to implement a genuine anti-corruption reform, but largely because of the pressure it was receiving from the donors and so a weak law was put in place that had only nine offenses."" He also emphasized that during his tenure as ACC head between 2008 and 2010, a new anti-corruption act was put in place in Sierra Leone which instituted several new provisions. A major change in the law includes a key provision in the new act which took away prosecutorial powers from the attorney general and minister of justice and handed it over to the anti-corruption commissioner. Also introduced in the new law were steeper legal penalties, whistleblower provisions and strengthening the hand of the ACC to be able to engage in cooperation with other states and other agencies. Mr. Tejan-Cole said prior to 2008, only about 30 corruption cases had been prosecuted in Sierra Leone and the quality of those prosecutions were left to be desired. But between 2008 and 2010, the number doubled and the quality of those prosecutions improved. More than 500 delegates, including government ministers and heads of civil society groups, international institutions and the private sector, attended the ECOSOC's high-level segment which focused on boosting productive capacity, strengthening development cooperation and creating decent and sustainable work. In his opening remarks for the discussion, Under-Secretary-General and Executive Director of the United Nations Office on Drugs and Crime UNODC, Mr. Yury Fedotov, said that an estimated $40 billion is stolen from developing countries annually meaning that each country loses up to $258 million per year or $700,000 per day. He added that the high cost of the abuse is being paid by ordinary citizens who could not access basic services and urged every sector of society to see combating corruption as a shared responsibility as governments cannot win the fight alone. At the closing of the panel discussion, UN Secretary General, Ban Ki-moon, said corruption hampers the ability of nations to prosper and grow and peace, development and human rights cannot flourish in an atmosphere of corruption. ""Last year, corruption prevented 30 per cent of all development assistance from reaching its final destination. This translates into bridges, hospitals and schools that were never built, and people living without the benefit of these services,"" Mr. Ban said. ""This is a failure of accountability and transparency. We cannot let it persist."" According to a UN News Center report, the high level panel discussion also promoted a renewed commitment for the ratification or accession to the UN Convention against Corruption by countries that have not yet done so. The Convention is the first legally binding global anti-corruption instrument which it obliges states to prevent and criminalize corruption, promote international cooperation, recover stolen assets and improve technical assistance and information exchange. In his response to a request seeking comment via Facebook about his opinion on corruption and its impact as it relates to his homeland Sierra Leone, Mr. Tejan-Cole quoted the Sierra Leone TRC report that says: ""The Commission has found that endemic corruption was a central factor that produced the dire conditions that made civil war inevitable. Sierra Leone remains in the grip of pervasive corruption, which, if not arrested, will sap the country of its life force and lay the grounds for further conflict."" He also added that ""many people who watched the movie 'Blood Diamonds' believe that the conflict in Sierra Leone was about blood diamonds. It was not as the TRC quote rightly points out."" ECOSOC will hold its operational activities and humanitarian affairs segments before concluding on 27 July."
305,The Namibian (Windhoek),7/25/12,No Bail for Education Corruption Suspects,,NAMIBIA (94%),Newspaper,Werner Menges,ENGLISH,,,25-Jul-12,"WINDHOEK, NAMIBIA (72%)",397 words,CORRUPTION (95%); EDUCATION DEPARTMENTS (91%); MAGISTRATES (90%); FRAUD & FINANCIAL CRIME (90%); INVESTIGATIONS (90%); BAIL (90%); ARRESTS (78%); LAW COURTS & TRIBUNALS (77%); LAWYERS (73%); CATERING SERVICES (50%) Namibia; Corruption; Education; Legal and Judicial Affairs,"THE two men facing charges in connection with alleged corruption and fraud discovered in the Ministry of Education in June heard yesterday that they have failed with their attempt to win their release on bail. The ruling given by Magistrate Helvi Shilemba at the end of a bail hearing in the Windhoek Magistrate's Court means that Asser Shaanika Uulenga (37) and Elifas Shatipamba Amakali (32) will be remaining in custody while the Anti-Corruption Commission (ACC) continues with its investigation of their case. Uulenga, who is employed by the Namibian Broadcasting Corporation, and Amakali, who is a former official in the Ministry of Education, are charged with three counts under the Anti-Corruption Act and one charge of fraud at this stage. They were arrested and charged four weeks ago. The charges under the Anti-Corruption Act are counts of corruptly using an office or position for gratification, corruptly giving gratification to an agent as a reward, and the corrupt use of a false document by an agent. Magistrate Shilemba recounted in her ruling that according to an ACC investigator the initial amount of money involved in the matter at the start of the investigation was about N$300 000. As the investigation progressed, this amount has grown to about N$2,1 million, she said. It is alleged that Uulenga and Amakali had been involved in creating false invoices which were presented to the Ministry of Education for payment, and which resulted in money being paid for goods and services which had never been delivered to the ministry. Uulenga and Amakali both told the court that they are denying the charges and that they would be pleading not guilty when they go on trial. According to Uulenga, he received a payment of N$300 000 from the Ministry of Education, but this was a legitimate transaction for catering services and stationery which he had supplied to the ministry, the magistrate recounted. She turned down the two men's application to be granted bail on the grounds that, although it is unlikely that they would abscond or interfere with the investigation if they are released, it would not be in the interest of the public or the administration of justice to release them on bail. Uulenga and Amakali, who were represented by defence lawyer Tomas Nekongo, are scheduled to appear in court again on September 28. Public Prosecutor Eric Naikaku represented the State."
306,The Times of Zambia (Ndola),8/15/12,Mumba Wants Corruption Tag Discarded,,ZAMBIA (94%); GHANA (79%),Newspaper,Chusa Sichone,ENGLISH,,,15-Aug-12,"LUSAKA, ZAMBIA (73%)",538 words,CORRUPTION (90%); POLITICS (77%); MUSIC COMPOSITION (72%); SONG WRITING (72%) Zambia; Corruption; Governance,"MMD leader Nevers Mumba has implored party members to ensure they remove the corruption tag associated with his party, which he said has now turned into a popular ""song"" in Zambia. And Dr Mumba has said he enjoys a wonderful relationship with former Republican President, Rupiah Banda. Speaking at the start of the party retreat in Lusaka's Chilanga area yesterday, Dr Mumba said politics was more about perception than reality. ""It is how we are perceived by most Zambians that must be addressed,"" he said. Dr Mumba said members needed to work hard to change the negative perception about the MMD, especially the corruption tag which has been associated with the party. ""It is true that some of the key players, if not most, who could have painted this image are no longer in the party, but the song continues to be sung that MMD is a corrupt party and we seem to have somebody who has composed that song and has sung it long enough and it has become a popular chorus in the country. ""So any politician who wants to attack MMD, they only have to play the record: MMD is corrupt, the song that's been coined. It is being sung everywhere. It remains our responsibility to deal with this song,"" he said. The opposition leader said the former ruling party had gone for the retreat to, among others, disown the corruption tag and mount a spirited fight against any acts of corruption both in MMD and Government. He said reform was necessary as without that, MMD would not survive in the current political scenario. Dr Mumba said the survival of the party would be dependent on effectively changing the inherent challenge of ""tokenism and nchekelako"" (handouts). And Dr Mumba said enemies of the party had been using the media to create an impression that he was not getting along with former president Banda. ""I want to clear the air. President Banda and I are enjoying a wonderful relationship. There's no reason for me to ever doubt his commitment to this party and his commitment to the support that he has continued to give me as the new president. ""He calls me, I call him. Whenever I have a challenge, I talk to him. And the issue of saying that President Banda has stopped funding the party, I have no clue (of) what they are talking about. Like I said in that newspaper, President Banda continues to stand with us in any way and if he has any resources he will give to the party,"" he said. In another development, Dr Mumba said it was regrettable that Government decided to send PF Secretary-General, Wynter Kabimba to attend the burial of Ghanaian President John Atta Mills. He said the Government should have sent Vice-President Guy Scott or Home Affairs Minister, Edgar Lungu who also attended the procession together with Gender and Development Minister, Inonge Wina. He also asked Government to explain who funded Mr Kabimba's trip, whether it was the State or the party. But Chief Government spokesperson Kennedy Sakeni condemned Dr Mumba for politicking on a funeral of a head of state. Mr Sakeni said on ZNBC main news monitored in Lusaka yesterday that the MMD leader should not bother the nation with trivial issues because there was nothing wrong for President Michael Sata to send Mr Kabimba and two Cabinet ministers to represent him."
307,The Times of Zambia (Ndola),8/22/12,'Treat Corruption Suspects Equally',,ZAMBIA (79%),Newspaper,Catherine Nyirenda,ENGLISH,,,23-Aug-12,"LUSAKA, ZAMBIA (66%)",310 words,CORRUPTION (94%); CRIMINAL CONVICTIONS (90%); POLITICS (78%); INTERVIEWS (77%) Zambia; Corruption; Legal and Judicial Affairs,"THE MMD in Western Province has said the party leadership should treat all officials suspected of corruption equally and ensure that all national executive committee (NEC) members facing court cases give up their positions until they are cleared. MMD Provincial Youth chairperson Musangu Njamba, said in an interview yesterday that members in Western Province were disappointed that the NEC was not being fair in handling issues to do with corruption in its quest to rid the party of a corruption tag. He said it was not fair for some NEC members who met last week at a retreat to brand former chairperson for Labour Austin Liato with a corruption tag yet ""many more leaders in the party were facing corruption charges."" Mr Njamba said the resignation of Mr Liato would lead to the extinction of the party in the province. MMD President, Nevers Mumba, announced at the close of the retreat that the party would have nothing to do with members who had been convicted of corruption and other cases. Mr Liato, is, however, the only member of the party who has been convicted of corruption while several other members were still facing corruption-related cases. ""Mr Liato has appealed against his judgement and his case is still in court just like any other cases involving NEC members. In this case let Dora Siliya, Gabriel Namulambe and Maxwell Mwale also step aside from their positions until they are cleared of these charges,"" he said. But MMD Lusaka Province Youth chairperson, Watson Mtonga said Mr Liato's resignation was in the best interest of the party. He said Dr Mumba's move to sideline people who were convicted of corruption would bring sanity in the party. ""Lusaka Province youths would like to thank Dr Mumba for making us realise some of the wrong things that were happening in the party as we the cadres were not aware of all these wrong things,"" he said."
308,The Herald (Harare),9/4/12,Chiredzi Town Council Faces Corruption Probe,,ZIMBABWE (79%),Newspaper,,ENGLISH,,,4-Sep-12,,394 words,CITY GOVERNMENT (94%); CITIES (93%); CORRUPTION (93%); INVESTIGATIONS (91%); REGIONAL & LOCAL GOVERNMENTS (91%); LEGISLATIVE BODIES (90%); CRIMINAL INVESTIGATIONS (90%); CITY LIFE (89%) Zimbabwe; Corruption; Legal and Judicial Affairs,"GOVERNMENT has instituted investigations into MDC-T-dominated Chiredzi town council following allegations of corruption among councillors and senior officials. They are accused of parcelling to themselves residential stands, which they would dispose of at astronomical prices to desperate home seekers. The underhand dealings reportedly resulted in the cash-strapped council losing tens of thousands of dollars in revenue. This prompted Local Government, Rural and Urban Development Minister Ignatius Chombo to set up a team to probe the MDC-T run council. Masvingo provincial administrator Mr Felix Chikovo yesterday confirmed the investigation. ""We had received complaints of widespread corrupt activities by the councillors and senior council officials. Allegations against the councillors are centred on disposal of residential stands while some senior officials are alleged to have abused council funds."" Once investigations are complete, the probe team will hand over a report on their findings to Minister Chombo for determination. Mr Chikovo said they recommended the invesitigation into the operations of Chiredzi town council to the minister following reports of incessant corruption at the council. Chiredzi has eight wards, six of which are represented by MDC-T councillors while one is represented by a Zanu-PF councillor with the other ward vacant. It is alleged that Chiredzi town councillors allegedly parcelled among themselves serviced residential stands in the Makondo area under Tshovani township extension. The councillors would allegedly buy several stands from council for about US$500 per high-density stand and then resell them for over US$2500 each. It is also alleged that the same councillors also abused their positions selling among themselves medium density and low density stands for US$1 500 and US$2 000 respectively. They would in turn dispose of the stands for about US$4 000 and US$6 000 respectively. Most residents felt betrayed by the council and petitioned government over the alleged corruption resulting in the investigation. Most MDC-T run urban councils have been rocked by corruption allegations to the detriment of service delivery. The party recently fired 12 councillors countrywide after they were fingered in corruption. Service delivery in most urban centres run by MDC-T councillors has plummeted courting the ire of ratepayers."
309,Concord Times (Freetown),9/5/12,ACC Supports Media Against Corruption Workshop,,SIERRA LEONE (72%),Newspaper,Ibrahim Tarawallie,ENGLISH,,,5-Sep-12,,402 words,CORRUPTION (97%); JOURNALISM (91%); INVESTIGATIONS (90%); NEWS REPORTING (90%); EDUCATION SYSTEMS & INSTITUTIONS (78%); ETHICS (78%); WRITERS (76%); STRATEGIC PARTNERSHIPS (73%); HOTELS & MOTELS (57%) Sierra Leone; Corruption; Press and Media,"With support from the Anti Corruption Commission ACC, the Media Alliance Against Corruption MAAC has trained 14 of its members across the country on reporting and investigating corruption related issues. The three-day training of trainers' capacity building workshop held at the J & M Motel in Bo, south of the country last week, looked in-depth into the 2008 Anti Corruption Act, the role of investigative journalism in corruption and good governance and journalistic ethics and legal issues in investigative journalism, among others. During the opening session, MAAC's outgoing National Coordinator, Melvin Rogers, thanked the ACC for providing the funds for the training and assured of the media alliance's support in the fight against corruption in the country. Rogers noted that the fight against corruption is a national one hence it should be the concern of everyone and not just the ACC. ""We as journalists should see ourselves as part of this fight. It is our desire to help the ACC win the fight and we want to assure the commission that we will work assiduously towards it. The media will play a great role in the success of the ACC,"" he said. The training, Rogers stated, will help greatly in building the capacity of MAAC members to be able to carry out thorough investigations and report accurately on corruption issues without bias. He urged participants to put what they have learnt during the three-day training into practice as they return to their respective newsrooms and to pass the knowledge and skills gained to those who were not fortunate to be at the workshop. ACC Head of Public Education and External Outreach, Madam Koloneh Sankoh, said it is a lay down fact that the media is the commission's strategic partner in the fight against corruption. She urged participants to start using integrity in their newspaper and radio reporting and should also keep in mind the limit and standards in their reportage. Madam Sankoh also entreated participants to be objective, open, transparent and stay neutral when reporting corruption-related activities and expressed optimism that MAAC will continue the good work it has been doing since its formation last year. During the technical sessions, presentations were made by the Head of the Mass Communications Department at Fourah Bay College, Isaac Massaquoi and Tanu Jalloh on what participants needed to know in investigating and reporting on corruption."
310,The Namibian (Windhoek),9/7/12,Accountant Denies Corruption Charges,,NAMIBIA (93%),Newspaper,Werner Menges,ENGLISH,,,7-Sep-12,"WINDHOEK, NAMIBIA (73%)",694 words,CORRUPTION (90%); TESTIMONY (90%); CRIMINAL OFFENSES (88%); LAW COURTS & TRIBUNALS (78%); WAGES & SALARIES (76%); FRAUD & FINANCIAL CRIME (74%); CAR RENTAL AGENCIES (70%); ARRESTS (69%) Namibia; Corruption; Legal and Judicial Affairs,"""I followed instructions."" This was the explanation of National Assembly Chief Accountant Abraham John George when he testified in his own defence in the High Court in Windhoek yesterday. George told Judge Marlene Tommasi he was only following instructions from former National Assembly Secretary Nama Goabab when he instructed another parliamentary staff member to make arrangements for the rental of a car for Goabab's use in early 2007. He was also only following instructions from Goabab when he, later that same year, used public funds from the National Assembly to settle another car rental account of Goabab, George testified. Both George and Goabab insisted this week that they did not commit any crimes when a National Assembly purchase order was used to hire a car for Goabab's use on March 1 2007, and when a government cheque was used to pay an account of N$18 497,20 for the rental of a second car for Goabab's use on April 25 2007. Goabab testified on Tuesday and Wednesday that it was his intention all along to pay the car rental costs out of his own pocket. He also told the court that in his view the section of the Anti-Corruption Act under which he and George are charged did not apply to him in his capacity as Secretary of the National Assembly. Goabab and George are accused of having illegally rented two vehicles at Government's cost for Goabab's private use during March and April 2007. The first rental was at a cost of N$5 055, which was a special rate for Government as a client of the car rental company. If Goabab had hired the car in his private capacity, the rental cost would have been N$6 780, the prosecution is claiming. Only the account of N$18 497,20 was actually paid by the National Assembly, on April 25 2007. Goabab paid that money back to the National Assembly on June 12 2007 - four days after he and George had been arrested by the Anti-Corruption Commission. They are charged with two counts of corruption - specifically, corruptly using an office or position for gratification - and alternative counts of fraud or theft. Goabab alone is also charged with a third count of the corrupt use of an office or position for gratification, alternatively using a motor vehicle without the owner's consent, in connection with allegations that he had unlawfully used a Government vehicle on May 25 2007 while he was receiving a motor vehicle allowance as part of his salary. The two men pleaded not guilty to all charges at the start of their trial in late March 2010. Goabab claimed on Wednesday that, as National Assembly Secretary, he was not a public officer as defined by the Anti-Corruption Act. He argued that the National Assembly is ""an organ of state"", and not a ""public body"", as defined by the Act. The end result of this view is that in his opinion the Anti-Corruption Act's section 43, under which he and George are charged with corruptly using their office or position as public officers to obtain gratification, did not apply to him. The Act's definition of ""public officer"" is a wide one, and includes staff members of the public service, members of Parliament, members of the judiciary, and ""any person receiving any remuneration from public funds"". George testified yesterday that Goabab undertook to pay for the rental of the two vehicles himself. He said with the first rental he told Goabab that, since he received a vehicle allowance as part of his salary package, he was not entitled to have a vehicle hired for his use at Government's cost. When he discussed the issue with a more senior colleague, though, they agreed that since Goabab was the National Assembly's accounting officer he had the discretion to decide that the car should be hired on Government's account, he said. George said he only found out about the second rental when Goabab approached him to have the account settled. Goabab's explanation was that he had problems with his credit card, and that he would pay the money back to Government as soon as those problems had been sorted out, George said. Goabab later asked him to deduct the amount paid for the second rental from his salary, George said. The court is due to hear arguments in the matter today."
311,The New Times (Kigali),9/9/12,Rwanda's Anti-Corruption Journey,,"RWANDA (94%); KENYA (93%); EASTERN AFRICA (93%); BURUNDI (92%); UGANDA (92%); TANZANIA, UNITED REPUBLIC OF (92%); AFRICA (92%); MAURITIUS (79%); CAPE VERDE (79%); BOTSWANA (79%)",Newspaper,Frank Kanyesigye,ENGLISH,,,9-Sep-12,"KAMPALA, UGANDA (92%); KIGALI, RWANDA (79%)",739 words,CORRUPTION (96%); BRIBERY (90%); POLITICAL CORRUPTION (89%); REGIONAL & LOCAL GOVERNMENTS (89%); AGREEMENTS (65%); CONTRACTS & BIDS (64%); CONTRACT AWARDS (60%) Rwanda; Corruption,"Rwanda continues to maintain a lead in the war against corruption in the region, according to several reports released by Transparency International for the last four years. The report released last week by the global corruption watchdog showed Rwanda's consistent track record in the fight against corruption among the five countries in the EAC region. The East African Bribery Index 2012 launched in Kampala last week, ranks Burundi the second least corrupt, Kenya third, while Tanzania and Uganda took the fourth and fifth positions respectively. However, this might not be a surprise to Rwanda due to standing tough measures in the country that have ensured zero tolerance to corruption. Rwanda has a bribery aggregate index of 2.5 percent Burundi; the worst ranked country last year recorded a significantly lower index of 18.8 percent, Kenya and Tanzania were 29.5 percent and 39.1 percent respectively while Uganda registered the highest bribery levels in the region with a percentage value of 40.7 percent. Yet last year in December 2011, Transparency International also found Rwanda to be the fourth least corrupt country in Africa and 47th in the world on the 2011 Corruption Perceptions Index (CPI). The country scored 70.8 percent, behind Mauritius with 73.2 percent, Cape Verde with 74.6 percent and Botswana which was the least corrupt African country with a score of 79.9 percent. The index ranks countries and territories from 0 (highly corrupt) to 10 (very clean) based on perceived levels of public sector corruption. The 2011 CPI gave Rwanda a score of 5.1 points, ahead of countries such as South Africa and beating its East African neighbors by a large margin. Rwanda was ranked 66th in 2010 with a score of 4.0. The 5.1 score meant that Rwanda is considered one of the countries clean of corruption (above the 5.0 mark). Speaking to The Sunday Times this week, Marie Immaculee Ingabire, and Chairperson of Transparency Rwanda, said this year the country improved the scores. ""Rwanda has maintained the lead against corruption because of the country's political will and commitment compared to other countries in the region or Africa,"" she said. Ingabire noted that, her institution has signed integrity pacts with the Ministry of Local Government to rein in mismanagement of public funds in local governments. The pacts were penned few months ago in Kigali with four pilot districts in Musanze, Huye, Kayonza and Rubavu and the initiative aims at curtailing graft in awarding tenders. Integrity pacts are agreements signed between the government or a district and all public sector bidders. The pacts engage all parties to abstain from corruption, disclose information and be transparent. Its implementation is monitored by an independent third party. Ingabire emphasised that strong sensitisation campaigns were needed to do away with mindset regarding corruption. Last year's report on corruption by TR showed the likelihood of encountering bribe demand occurrences was at 1.19 percent the prevalence of bribery at 0.8 percent and the average size of bribery was Rwf 19,844. TR regularly, on an annual basis, carries out the Rwanda Bribery Index to determine the extent of corruption in the country. On several occasions, the findings of Transparency International Rwanda show that the country has taken remarkable steps in the fight against graft-related cases. ""If our government continues to maintain strong political will in the war against corruption and zero tolerance to corruption, we hope by 2015 to be the least corrupt country in Africa and perhaps among the ten least corrupt countries in the world,"" said Ingabire. Most of the bribes paid are in small amounts of between Rwf 1,000 to 5,000 further reinforcing the position that the poorer members of society are the ones practicing it. ""Our office has been in existence for 12 years and we have maintained a clear line of advisory services to institutions by providing reports in transparent manner for the public interests,"" said Obadiah Biraro, Auditor General. He stated that his institution was one of the offices that are at the forefront in fighting against graft in the country. ""We enforce other agencies to be transparent and accountable. That is why Rwanda has maintained a good record of being the least corrupt country in the region,"" he added, but added that the country's improvement on Transparency International's CPI should not be a cause for complacency."
312,The Namibian (Windhoek),9/10/12,Final Arguments in Corruption Trial,,NAMIBIA (93%),Newspaper,Werner Menges,ENGLISH,,,10-Sep-12,"WINDHOEK, NAMIBIA (73%)",586 words,CORRUPTION (92%); VERDICTS (90%); CRIMINAL CONVICTIONS (90%); TESTIMONY (89%); LAWYERS (78%); LEGISLATION (78%); LAW COURTS & TRIBUNALS (77%); ARRESTS (73%); WAGES & SALARIES (64%) Namibia; Legal and Judicial Affairs; Corruption,"FORMER National Assembly Secretary Nama Goabab and parliamentary accountant Abraham John George should both be found guilty of charges under the Anti-Corruption Act, the prosecution argued in their trial in the High Court in Windhoek on Friday. Danie Small, the Chief Prosecutor in the Office of the Prosecutor-General, asked Judge Marlene Tommasi to convict Goabab on three counts of the corrupt use of an office or position for gratification, and to find George guilty on two of those charges, at the end of his arguments on the verdict that the judge will have to deliver in the two men's trial. Defence lawyers Lucius Murorua, representing Goabab, and Zagrys Grobler, representing George, are scheduled to present their arguments to the court today. In written arguments already filed with the court the two lawyers have indicated that they would be asking Judge Tommasi to find the two accused men not guilty. Goabab (55) and George (51) are jointly charged with two main counts of corruptly using an office or position for gratification, which is an offence under the Anti-Corruption Act of 2003. These charges are based on allegations that they had rented two cars at Government's cost for Goabab's private use during March and April 2007. The total cost of the vehicle rentals is alleged to have been N$23 552,20, of which N$18 497,20 was actually paid by the National Assembly. Goabab paid this amount back to the National Assembly four days after he and George had been arrested by the Anti-Corruption Commission in June 2007. Goabab alone is also charged with a third count in connection with allegations that he had unlawfully used a Government car on May 25 2007 while he was receiving a motor vehicle allowance as part of his salary. Goabab and George pleaded not guilty to all charges at the start of their trial in March 2010. Goabab told the court last week that the arrangement all along was that he would pay the money which had been spent on the rentals back to Government. He also claimed that he had a discretion to decide to use a Government vehicle for work-related purposes while his private car was not available. George testified in his own defence that he was only following instructions from Goabab when he helped to arrange the two rentals and the use of National Assembly funds to pay for the second of those. The first rental was never paid, the court has heard. Small told Judge Tommasi on Friday that he was accepting that it had been Goabab's declared intention from the beginning that he would repay the National Assembly for the two rentals. However, Small stressed, what had taken place was the use of public funds for private purposes. The section of the Anti-Corruption Act under which the two men are charged, reads: ""A public officer commits an offence who, directly or indirectly, corruptly uses his or her office or position in a public body to obtain any gratification, whether for the benefit of himself or herself or any other person."" Goabab and George, who is still employed as Chief Accountant with the National Assembly, were both public officers, Small argued. Goabab's claim in his testimony last week that he was not a public servant when he was the Secretary of the National Assembly was an ""absurd notion"", Small commented. He argued that Goabab had obtained gratification when public funds were used to pay for rental cars for his private use, even if it was his intention to later repay Government. George had assisted Goabab to obtain that gratification, Small also argued."
313,The Namibian (Windhoek),9/14/12,Ex-NBC Staffers Admit TV Licence Corruption,,NAMIBIA (94%),Newspaper,Werner Menges,ENGLISH,,,14-Sep-12,"WINDHOEK, NAMIBIA (73%)",422 words,CORRUPTION (92%); BROADCASTING REGULATION (92%); BROADCASTING INDUSTRY (92%); LICENSES & PERMITS (90%); TELEVISION INDUSTRY (90%); RECEIVING STOLEN PROPERTY (90%); LARCENY & THEFT (90%); GUILTY PLEAS (90%); MAGISTRATES (89%); REGULATORY COMPLIANCE (89%); CRIMINAL OFFENSES (89%); ADMISSIONS & CONFESSIONS (78%); PROPERTY CRIMES (78%); SENTENCING (78%); EVIDENCE (78%); INVESTIGATIONS (78%); FINES & PENALTIES (77%); LAWYERS (75%) Namibia; Corruption; Legal and Judicial Affairs,"TWO former employees of the Namibian Broadcasting Corporation yesterday admitted that they were guilty of corruption and other crimes in connection with the selling of stolen NBC television licences five years ago. James Tjilondelo, who was employed at the NBC as a senior compliance officer, and Timotheus Sheepo, who was a compliance officer with the national broadcaster, are set to be sentenced by Magistrate Dinnah Usiku in the Windhoek Regional Court on Wednesday next week. Each of them has pleaded guilty to two charges. Tjilondelo (29) admitted guilt to a charge of theft and a count of the corrupt use of an office or position to obtain gratification. Sheepo (43) pleaded guilty to charges of receiving stolen property, and the corrupt use of an office or position to obtain gratification. The crimes which the men admitted cost the NBC close to N$110 000. Tjilondelo admitted that he stole ten television licence books from the NBC in August 2007. He later on started to sell TV licences from those books, and pocketed the money which unsuspecting television owners paid him for the licences. He obtained a total of N$69 042 in the process, he admitted. Five of the licence books which Tjilondelo had stolen were later given to Sheepo, the court was told. Sheepo admitted that he received the stolen licence books in August 2007, and that he then also started to sell TV licences and to keep the money which he received for the licences. He received N$40 762 from the sale of the stolen licences, he admitted. Tjilondelo and Sheepo were later charged after the Anti-Corruption Commission had carried out an investigation into the licence scam. Both men are currently unemployed, their defence lawyer, Gloria Situmbeko, told the magistrate. She said they were both aware of the seriousness of the offences they had committed, and that they were sincerely sorry about what they had done. Each of them is able to pay a fine of N$2 000 on each of the two counts they admitted, Situmbeko said. Addressing the court on the sentences to be imposed on the two men, Public Prosecutor Carol-Ann Esterhuizen argued that Tjilondelo and Sheepo pleaded guilty because of the overwhelming evidence they were facing. She argued that they had abused the trust which was placed in them by the NBC by selling the licences for their own benefit. The court should make it clear that people entrusted with responsibilities by their employers should not abuse their position in any way, Esterhuizen argued. The two men remain free while awaiting their sentencing."
